No;Wind (m/s);Temp (°C);Stability;Rate In (kL/jam);Rate in (m3/s);T_eff (menit);Thickness (mm);Volume (m3);Area(m2);Zone Red (m);Zone orange (m);Zone yellow (m)
603;3;27;D;350;0.097222222;2;20;11.66666667;583.3333333;17;22;38
604;3;27;D;350;0.097222222;5;6;29.16666667;4861.111111;47;60;105
605;3;27;D;350;0.097222222;5;10;29.16666667;2916.666667;36;47;82
606;3;27;D;350;0.097222222;5;20;29.16666667;1458.333333;25;32;55
607;3;27;D;350;0.097222222;15;5;87.5;17500;86;111;194
608;3;27;D;350;0.097222222;15;10;87.5;8750;62;80;140
609;3;27;D;350;0.097222222;15;20;87.5;4375;42;54;94
610;3;27;D;350;0.097222222;30;6;175;29166.66667;111;143;249
611;3;27;D;350;0.097222222;30;10;175;17500;87;113;196
612;3;27;D;350;0.097222222;30;20;175;8750;59;76;132
613;3;27;D;350;0.097222222;45;9;262.5;29166.66667;111;144;251
614;3;27;D;350;0.097222222;45;10;262.5;26250;106;137;239
615;3;27;D;350;0.097222222;45;20;262.5;13125;72;92;161
616;3;27;D;550;0.152777778;2;6;18.33333333;3055.555556;37;48;83
617;3;27;D;550;0.152777778;2;10;18.33333333;1833.333333;29;38;66
618;3;27;D;550;0.152777778;2;20;18.33333333;916.6666667;21;27;47
619;3;27;D;550;0.152777778;5;5;45.83333333;9166.666667;63;81;142
620;3;27;D;550;0.152777778;5;10;45.83333333;4583.333333;45;59;102
621;3;27;D;550;0.152777778;5;20;45.83333333;2291.666667;31;39;69
622;3;27;D;550;0.152777778;15;5;137.5;27500;107;139;242
623;3;27;D;550;0.152777778;15;10;137.5;13750;77;100;174
624;3;27;D;550;0.152777778;15;20;137.5;6875;52;67;117
625;3;27;D;550;0.152777778;30;9;275;30555.55556;114;147;256
626;3;27;D;550;0.152777778;30;10;275;27500;108;140;244
627;3;27;D;550;0.152777778;30;20;275;13750;73;94;165
628;3;27;D;550;0.152777778;45;14;412.5;29464.28571;113;146;254
629;3;27;D;550;0.152777778;45;18;412.5;22916.66667;94;121;211
630;3;27;D;550;0.152777778;45;25;412.5;16500;80;104;181
631;3;27;F;250;0.069444444;2;5;8.333333333;1666.666667;60;77;135
632;3;27;F;250;0.069444444;2;10;8.333333333;833.3333333;42;55;97
633;3;27;F;250;0.069444444;2;20;8.333333333;416.6666667;31;40;70
634;3;27;F;250;0.069444444;5;5;20.83333333;4166.666667;93;121;211
635;3;27;F;250;0.069444444;5;10;20.83333333;2083.333333;67;87;151
636;3;27;F;250;0.069444444;5;20;20.83333333;1041.666667;48;63;110
637;3;27;F;250;0.069444444;15;5;62.5;12500;155;207;368
638;3;27;F;250;0.069444444;15;10;62.5;6250;115;148;258
639;3;27;F;250;0.069444444;15;20;62.5;3125;77;100;178
640;3;27;F;250;0.069444444;30;5;125;25000;255;293;533
641;3;27;F;250;0.069444444;30;10;125;12500;160;206;363
642;3;27;F;250;0.069444444;30;20;125;6250;109;142;255
643;3;27;F;250;0.069444444;45;7;187.5;26785.71429;232;302;548
644;3;27;F;250;0.069444444;45;10;187.5;18750;193;253;449
645;3;27;F;250;0.069444444;45;20;187.5;9375;133;175;315
646;3;27;F;350;0.097222222;2;6;11.66666667;1944.444444;64;83;146
647;3;27;F;350;0.097222222;2;10;11.66666667;1166.666667;50;65;114
648;3;27;F;350;0.097222222;2;20;11.66666667;583.3333333;36;47;83
649;3;27;F;350;0.097222222;5;6;29.16666667;4861.111111;101;130;228
650;3;27;F;350;0.097222222;5;10;29.16666667;2916.666667;79;103;177
651;3;27;F;350;0.097222222;5;20;29.16666667;1458.333333;53;69;121
652;3;27;F;350;0.097222222;15;5;87.5;17500;188;245;440
653;3;27;F;350;0.097222222;15;10;87.5;8750;135;174;305
654;3;27;F;350;0.097222222;15;20;87.5;4375;91;119;211
655;3;27;F;350;0.097222222;30;6;175;29166.66667;243;316;576
656;3;27;F;350;0.097222222;30;10;175;17500;187;244;433
657;3;27;F;350;0.097222222;30;20;175;8750;129;169;304
658;3;27;F;350;0.097222222;45;9;262.5;29166.66667;242;315;571
659;3;27;F;350;0.097222222;45;10;262.5;26250;229;299;537
660;3;27;F;350;0.097222222;45;20;262.5;13125;159;208;378
661;3;27;F;550;0.152777778;2;6;18.33333333;3055.555556;80;104;180
662;3;27;F;550;0.152777778;2;10;18.33333333;1833.333333;63;81;143
663;3;27;F;550;0.152777778;2;20;18.33333333;916.6666667;45;59;103
664;3;27;F;550;0.152777778;5;5;45.83333333;9166.666667;137;177;313
665;3;27;F;550;0.152777778;5;10;45.83333333;4583.333333;99;128;221
666;3;27;F;550;0.152777778;5;20;45.83333333;2291.666667;66;86;152
667;3;27;F;550;0.152777778;15;5;137.5;27500;236;307;562
668;3;27;F;550;0.152777778;15;10;137.5;13750;167;216;382
669;3;27;F;550;0.152777778;15;20;137.5;6875;114;149;268
670;3;27;F;550;0.152777778;30;9;275;30555.55556;248;322;586
671;3;27;F;550;0.152777778;30;10;275;27500;235;306;551
672;3;27;F;550;0.152777778;30;20;275;13750;162;213;387
673;3;27;F;550;0.152777778;45;14;412.5;29464.28571;243;316;570
674;3;27;F;550;0.152777778;45;17;412.5;24264.70588;221;288;515
675;3;27;F;550;0.152777778;45;20;412.5;20625;200;263;482
676;3;30;B;250;0.069444444;2;5;8.333333333;1666.666667;23;23;34
677;3;30;B;250;0.069444444;2;10;8.333333333;833.3333333;16;16;25
678;3;30;B;250;0.069444444;2;20;8.333333333;416.6666667;11;11;18
679;3;30;B;250;0.069444444;5;5;20.83333333;4166.666667;36;36;53
680;3;30;B;250;0.069444444;5;10;20.83333333;2083.333333;26;26;38
681;3;30;B;250;0.069444444;5;20;20.83333333;1041.666667;18;18;28
682;3;30;B;250;0.069444444;15;5;62.5;12500;63;63;89
683;3;30;B;250;0.069444444;15;10;62.5;6250;45;45;64
684;3;30;B;250;0.069444444;15;20;62.5;3125;31;32;47
685;3;30;B;250;0.069444444;30;5;125;25000;89;89;123
686;3;30;B;250;0.069444444;30;10;125;12500;63;63;89
687;3;30;B;250;0.069444444;30;20;125;6250;45;45;66
688;3;30;B;250;0.069444444;45;6;187.5;31250;100;100;137
689;3;30;B;250;0.069444444;45;10;187.5;18750;77;77;108
690;3;30;B;250;0.069444444;45;20;187.5;9375;55;55;79
691;3;30;B;350;0.097222222;2;6;11.66666667;1944.444444;25;25;37
692;3;30;B;350;0.097222222;2;10;11.66666667;1166.666667;19;19;29
693;3;30;B;350;0.097222222;2;20;11.66666667;583.3333333;14;14;21
694;3;30;B;350;0.097222222;5;5.5;29.16666667;5303.030303;41;41;60
695;3;30;B;350;0.097222222;5;10;29.16666667;2916.666667;30;30;45
696;3;30;B;350;0.097222222;5;20;29.16666667;1458.333333;22;22;33
697;3;30;B;350;0.097222222;15;5;87.5;17500;75;75;104
698;3;30;B;350;0.097222222;15;10;87.5;8750;53;53;76
699;3;30;B;350;0.097222222;15;20;87.5;4375;38;38;55
700;3;30;B;350;0.097222222;30;6;175;29166.66667;96;96;133
701;3;30;B;350;0.097222222;30;10;175;17500;75;75;105
702;3;30;B;350;0.097222222;30;20;175;8750;53;53;77
703;3;30;B;350;0.097222222;45;9;262.5;29166.66667;96;96;133
704;3;30;B;350;0.097222222;45;10;262.5;26250;91;91;127
705;3;30;B;350;0.097222222;45;20;262.5;13125;64;65;93
706;3;30;B;550;0.152777778;2;5.5;18.33333333;3333.333333;33;33;47
707;3;30;B;550;0.152777778;2;10;18.33333333;1833.333333;24;24;36
708;3;30;B;550;0.152777778;2;20;18.33333333;916.6666667;17;17;27
709;3;30;B;550;0.152777778;5;5;45.83333333;9166.666667;54;54;77
710;3;30;B;550;0.152777778;5;10;45.83333333;4583.333333;38;38;56
711;3;30;B;550;0.152777778;5;20;45.83333333;2291.666667;27;27;41
712;3;30;B;550;0.152777778;15;5;137.5;27500;94;94;129
713;3;30;B;550;0.152777778;15;10;137.5;13750;66;66;94
714;3;30;B;550;0.152777778;15;20;137.5;6875;47;47;69
715;3;30;B;550;0.152777778;30;9;275;30555.55556;99;99;136
716;3;30;B;550;0.152777778;30;14;275;19642.85714;79;79;111
717;3;30;B;550;0.152777778;30;25;275;11000;59;59;80
718;3;30;B;550;0.152777778;45;14;412.5;29464.28571;97;97;135
719;3;30;B;550;0.152777778;45;19;412.5;21710.52632;83;83;117
720;3;30;B;550;0.152777778;45;25;412.5;16500;72;72;97
721;3;30;D;250;0.069444444;2;5;8.333333333;1666.666667;30;38;67
722;3;30;D;250;0.069444444;2;10;8.333333333;833.3333333;22;28;48
723;3;30;D;250;0.069444444;2;20;8.333333333;416.6666667;16;20;35
724;3;30;D;250;0.069444444;5;5;20.83333333;4166.666667;46;60;103
725;3;30;D;250;0.069444444;5;10;20.83333333;2083.333333;33;43;75
726;3;30;D;250;0.069444444;5;20;20.83333333;1041.666667;24;31;54
727;3;30;D;250;0.069444444;15;5;62.5;12500;78;102;177
728;3;30;D;250;0.069444444;15;10;62.5;6250;56;74;127
729;3;30;D;250;0.069444444;15;20;62.5;3125;41;53;92
730;3;30;D;250;0.069444444;30;5;125;25000;110;143;248
731;3;30;D;250;0.069444444;30;10;125;12500;79;102;179
732;3;30;D;250;0.069444444;30;20;125;6250;57;74;129
733;3;30;D;250;0.069444444;45;6;187.5;31250;122;159;276
734;3;30;D;250;0.069444444;45;10;187.5;18750;96;125;218
735;3;30;D;250;0.069444444;45;20;187.5;9375;70;90;157
736;3;30;D;350;0.097222222;2;6;11.66666667;1944.444444;32;41;72
737;3;30;D;350;0.097222222;2;10;11.66666667;1166.666667;25;33;56
738;3;30;D;350;0.097222222;2;20;11.66666667;583.3333333;19;23;41
739;3;30;D;350;0.097222222;5;6;29.16666667;4861.111111;50;64;112
740;3;30;D;350;0.097222222;5;10;29.16666667;2916.666667;39;51;88
741;3;30;D;350;0.097222222;5;20;29.16666667;1458.333333;28;37;64
742;3;30;D;350;0.097222222;15;5;87.5;17500;92;119;209
743;3;30;D;350;0.097222222;15;10;87.5;8750;67;86;150
744;3;30;D;350;0.097222222;15;20;87.5;4375;49;63;108
745;3;30;D;350;0.097222222;30;6;175;29166.66667;119;154;267
746;3;30;D;350;0.097222222;30;10;175;17500;93;121;211
747;3;30;D;350;0.097222222;30;20;175;8750;67;87;152
748;3;30;D;350;0.097222222;45;9;262.5;29166.66667;119;155;269
749;3;30;D;350;0.097222222;45;10;262.5;26250;114;147;256
750;3;30;D;350;0.097222222;45;20;262.5;13125;82;106;185
751;3;30;D;550;0.152777778;2;6;18.33333333;3055.555556;40;52;89
752;3;30;D;550;0.152777778;2;10;18.33333333;1833.333333;31;41;70
753;3;30;D;550;0.152777778;2;20;18.33333333;916.6666667;23;30;51
754;3;30;D;550;0.152777778;5;5;45.83333333;9166.666667;67;88;152
755;3;30;D;550;0.152777778;5;10;45.83333333;4583.333333;49;63;110
756;3;30;D;550;0.152777778;5;20;45.83333333;2291.666667;35;45;80
757;3;30;D;550;0.152777778;15;5;137.5;27500;115;149;260
758;3;30;D;550;0.152777778;15;10;137.5;13750;83;107;187
759;3;30;D;550;0.152777778;15;20;137.5;6875;60;78;135
760;3;30;D;550;0.152777778;30;9;275;30555.55556;122;158;274
761;3;30;D;550;0.152777778;30;10;275;27500;116;150;262
762;3;30;D;550;0.152777778;30;20;275;13750;84;108;190
763;3;30;D;550;0.152777778;45;14;412.5;29464.28571;121;157;272
764;3;30;D;550;0.152777778;45;19;412.5;21710.52632;105;135;236
765;3;30;D;550;0.152777778;45;23;412.5;17934.78261;89;116;202
766;3;30;F;250;0.069444444;2;5;8.333333333;1666.666667;64;83;144
767;3;30;F;250;0.069444444;2;10;8.333333333;833.3333333;46;60;105
768;3;30;F;250;0.069444444;2;20;8.333333333;416.6666667;33;43;75
769;3;30;F;250;0.069444444;5;5;20.83333333;4166.666667;100;130;227
770;3;30;F;250;0.069444444;5;10;20.83333333;2083.333333;72;94;162
771;3;30;F;250;0.069444444;5;20;20.83333333;1041.666667;52;67;118
772;3;30;F;250;0.069444444;15;5;62.5;12500;170;222;369
773;3;30;F;250;0.069444444;15;10;62.5;6250;124;158;277
774;3;30;F;250;0.069444444;15;20;62.5;3125;89;115;197
775;3;30;F;250;0.069444444;30;5;125;25000;241;315;576
776;3;30;F;250;0.069444444;30;10;125;12500;171;221;392
777;3;30;F;250;0.069444444;30;20;125;6250;125;160;279
778;3;30;F;250;0.069444444;45;6;187.5;31250;269;351;648
779;3;30;F;250;0.069444444;45;10;187.5;18750;208;271;484
780;3;30;F;250;0.069444444;45;20;187.5;9375;151;193;340
781;3;30;F;350;0.097222222;2;6;11.66666667;1944.444444;69;89;155
782;3;30;F;350;0.097222222;2;10;11.66666667;1166.666667;54;70;123
783;3;30;F;350;0.097222222;2;20;11.66666667;583.3333333;39;50;89
784;3;30;F;350;0.097222222;5;6;29.16666667;4861.111111;108;140;244
785;3;30;F;350;0.097222222;5;10;29.16666667;2916.666667;85;110;189
786;3;30;F;350;0.097222222;5;20;29.16666667;1458.333333;61;79;138
787;3;30;F;350;0.097222222;15;5;87.5;17500;202;263;475
788;3;30;F;350;0.097222222;15;10;87.5;8750;145;185;327
789;3;30;F;350;0.097222222;15;20;87.5;4375;105;136;233
790;3;30;F;350;0.097222222;30;6;175;29166.66667;260;339;623
791;3;30;F;350;0.097222222;30;10;175;17500;201;262;466
792;3;30;F;350;0.097222222;30;20;175;8750;146;187;329
793;3;30;F;350;0.097222222;45;9;262.5;29166.66667;260;338;617
794;3;30;F;350;0.097222222;45;10;262.5;26250;247;321;581
795;3;30;F;350;0.097222222;45;20;262.5;13125;177;228;402
796;3;30;F;550;0.152777778;2;6;18.33333333;3055.555556;86;112;193
797;3;30;F;550;0.152777778;2;10;18.33333333;1833.333333;67;88;152
798;3;30;F;550;0.152777778;2;20;18.33333333;916.6666667;49;63;111
799;3;30;F;550;0.152777778;5;5;45.83333333;9166.666667;147;190;337
800;3;30;F;550;0.152777778;5;10;45.83333333;4583.333333;106;137;237
801;3;30;F;550;0.152777778;5;20;45.83333333;2291.666667;76;99;171
802;3;30;F;550;0.152777778;15;5;137.5;27500;254;330;607
803;3;30;F;550;0.152777778;15;10;137.5;13750;179;232;412
804;3;30;F;550;0.152777778;15;20;137.5;6875;130;168;292
805;3;30;F;550;0.152777778;30;9;275;30555.55556;266;345;633
806;3;30;F;550;0.152777778;30;10;275;27500;252;328;595
807;3;30;F;550;0.152777778;30;20;275;13750;180;233;412
808;3;30;F;550;0.152777778;45;14;412.5;29464.28571;261;338;613
809;3;30;F;550;0.152777778;45;18;412.5;22916.66667;231;301;538
810;3;30;F;550;0.152777778;45;24;412.5;17187.5;196;258;473
811;5;25;B;250;0.069444444;2;5;8.333333333;1666.666667;23;23;29
812;5;25;B;250;0.069444444;2;10;8.333333333;833.3333333;16;16;21
813;5;25;B;250;0.069444444;2;20;8.333333333;416.6666667;11;11;16
814;5;25;B;250;0.069444444;5;5;20.83333333;4166.666667;36;36;45
815;5;25;B;250;0.069444444;5;10;20.83333333;2083.333333;26;26;33
816;5;25;B;250;0.069444444;5;20;20.83333333;1041.666667;18;18;24
817;5;25;B;250;0.069444444;15;5;62.5;12500;63;63;76
818;5;25;B;250;0.069444444;15;10;62.5;6250;45;45;55
819;5;25;B;250;0.069444444;15;20;62.5;3125;31;32;40
820;5;25;B;250;0.069444444;30;5;125;25000;89;89;105
821;5;25;B;250;0.069444444;30;10;125;12500;63;63;77
822;5;25;B;250;0.069444444;30;20;125;6250;45;45;56
823;5;25;B;250;0.069444444;45;6;187.5;31250;100;100;117
824;5;25;B;250;0.069444444;45;10;187.5;18750;77;77;92
825;5;25;B;250;0.069444444;45;20;187.5;9375;55;55;67
826;5;25;B;350;0.097222222;2;5.5;11.66666667;2121.212121;26;26;33
827;5;25;B;350;0.097222222;2;10;11.66666667;1166.666667;19;19;25
828;5;25;B;350;0.097222222;2;20;11.66666667;583.3333333;14;14;18
829;5;25;B;350;0.097222222;5;6;29.16666667;4861.111111;39;39;49
830;5;25;B;350;0.097222222;5;10;29.16666667;2916.666667;30;30;38
831;5;25;B;350;0.097222222;5;20;29.16666667;1458.333333;22;22;28
832;5;25;B;350;0.097222222;15;5;87.5;17500;75;75;89
833;5;25;B;350;0.097222222;15;10;87.5;8750;53;53;64
834;5;25;B;350;0.097222222;15;20;87.5;4375;38;37;47
835;5;25;B;350;0.097222222;30;6;175;29166.66667;96;96;113
836;5;25;B;350;0.097222222;30;10;175;17500;75;75;90
837;5;25;B;350;0.097222222;30;20;175;8750;53;53;66
838;5;25;B;350;0.097222222;45;9;262.5;29166.66667;96;96;114
839;5;25;B;350;0.097222222;45;10;262.5;26250;91;91;109
840;5;25;B;350;0.097222222;45;20;262.5;13125;64;65;80
841;5;25;B;550;0.152777778;2;5.5;18.33333333;3333.333333;33;33;41
842;5;25;B;550;0.152777778;2;10;18.33333333;1833.333333;24;24;31
843;5;25;B;550;0.152777778;2;20;18.33333333;916.6666667;17;17;22
844;5;25;B;550;0.152777778;5;5;45.83333333;9166.666667;54;54;66
845;5;25;B;550;0.152777778;5;10;45.83333333;4583.333333;38;38;47
846;5;25;B;550;0.152777778;5;20;45.83333333;2291.666667;27;27;34
847;5;25;B;550;0.152777778;15;5;137.5;27500;94;94;110
848;5;25;B;550;0.152777778;15;10;137.5;13750;66;66;80
849;5;25;B;550;0.152777778;15;20;137.5;6875;47;47;58
850;5;25;B;550;0.152777778;30;9;275;30555.55556;99;99;117
851;5;25;B;550;0.152777778;30;10;275;27500;94;94;111
852;5;25;B;550;0.152777778;30;20;275;13750;66;66;81
853;5;25;B;550;0.152777778;45;14;412.5;29464.28571;97;97;116
854;5;25;B;550;0.152777778;45;18;412.5;22916.66667;85;85;103
855;5;25;B;550;0.152777778;45;24;412.5;17187.5;74;74;91
856;5;25;D;250;0.069444444;2;5;8.333333333;1666.666667;25;33;56
857;5;25;D;250;0.069444444;2;10;8.333333333;833.3333333;18;23;41
858;5;25;D;250;0.069444444;2;20;8.333333333;416.6666667;13;17;30
859;5;25;D;250;0.069444444;5;5;20.83333333;4166.666667;39;50;88
860;5;25;D;250;0.069444444;5;10;20.83333333;2083.333333;28;36;64
861;5;25;D;250;0.069444444;5;20;20.83333333;1041.666667;20;27;46
862;5;25;D;250;0.069444444;15;5;62.5;12500;67;86;150
863;5;25;D;250;0.069444444;15;10;62.5;6250;48;62;108
864;5;25;D;250;0.069444444;15;20;62.5;3125;35;45;78
865;5;25;D;250;0.069444444;30;5;125;25000;93;121;211
866;5;25;D;250;0.069444444;30;10;125;12500;67;87;152
867;5;25;D;250;0.069444444;30;20;125;6250;49;63;110
868;5;25;D;250;0.069444444;45;6;187.5;31250;104;135;236
869;5;25;D;250;0.069444444;45;10;187.5;18750;82;106;185
870;5;25;D;250;0.069444444;45;20;187.5;9375;60;77;134
871;5;25;D;350;0.097222222;2;6;11.66666667;1944.444444;27;35;61
872;5;25;D;350;0.097222222;2;10;11.66666667;1166.666667;22;28;48
873;5;25;D;350;0.097222222;2;20;11.66666667;583.3333333;16;20;35
874;5;25;D;350;0.097222222;5;5.5;29.16666667;5303.030303;44;57;99
875;5;25;D;350;0.097222222;5;10;29.16666667;2916.666667;33;43;75
876;5;25;D;350;0.097222222;5;20;29.16666667;1458.333333;24;31;54
877;5;25;D;350;0.097222222;15;5;87.5;17500;78;102;177
878;5;25;D;350;0.097222222;15;10;87.5;8750;56;74;127
879;5;25;D;350;0.097222222;15;20;87.5;4375;41;53;92
880;5;25;D;350;0.097222222;30;6;175;29166.66667;100;130;228
881;5;25;D;350;0.097222222;30;10;175;17500;79;103;179
882;5;25;D;350;0.097222222;30;20;175;8750;58;74;129
883;5;25;D;350;0.097222222;45;8.5;262.5;30882.35294;104;135;236
884;5;25;D;350;0.097222222;45;10;262.5;26250;97;125;219
885;5;25;D;350;0.097222222;45;20;262.5;13125;70;91;158
886;5;25;D;550;0.152777778;2;6;18.33333333;3055.555556;34;44;75
887;5;25;D;550;0.152777778;2;10;18.33333333;1833.333333;27;34;60
888;5;25;D;550;0.152777778;2;20;18.33333333;916.6666667;19;25;44
889;5;25;D;550;0.152777778;5;5;45.83333333;9166.666667;57;74;129
890;5;25;D;550;0.152777778;5;10;45.83333333;4583.333333;41;53;93
891;5;25;D;550;0.152777778;5;20;45.83333333;2291.666667;30;39;67
892;5;25;D;550;0.152777778;15;5;137.5;27500;98;127;221
893;5;25;D;550;0.152777778;15;10;137.5;13750;70;91;159
894;5;25;D;550;0.152777778;15;20;137.5;6875;51;66;115
895;5;25;D;550;0.152777778;30;9;275;30555.55556;104;135;235
896;5;25;D;550;0.152777778;30;10;275;27500;99;128;224
897;5;25;D;550;0.152777778;30;20;275;13750;72;92;161
898;5;25;D;550;0.152777778;45;14;412.5;29464.28571;103;133;233
899;5;25;D;550;0.152777778;45;28;412.5;14732.14286;69;89;155
900;5;25;D;550;0.152777778;45;24;412.5;17187.5;80;103;180
901;5;25;F;250;0.069444444;2;5;8.333333333;1666.666667;54;70;123
902;5;25;F;250;0.069444444;2;10;8.333333333;833.3333333;39;50;88
903;5;25;F;250;0.069444444;2;20;8.333333333;416.6666667;28;36;64
904;5;25;F;250;0.069444444;5;5;20.83333333;4166.666667;85;110;196
905;5;25;F;250;0.069444444;5;10;20.83333333;2083.333333;61;79;139
906;5;25;F;250;0.069444444;5;20;20.83333333;1041.666667;44;57;100
907;5;25;F;250;0.069444444;15;5;62.5;12500;147;192;338
908;5;25;F;250;0.069444444;15;10;62.5;6250;105;137;241
909;5;25;F;250;0.069444444;15;20;62.5;3125;75;98;174
910;5;25;F;250;0.069444444;30;5;125;25000;208;270;486
